PROBLEM TYPE NAME,PROBLEM,ADDITIONAL INFO,SOLUTION,ACTUAL PROBLEM,SUPPORT TYPE,SOLVED COMMENT,combined_text,cleaned_combined_text
Accounts Related Issue,Query about Packages..,Not provided,Advance payment query,Query about Packages,Phone Support,Not available,Accounts Related Issue Query about Packages.. Query about Packages Phone Support Not provided Not available,account related issue query packages.. query package phone support provided available
No Internet Connection (FTTH),ONU status offline..,Offline., Pole shifting/road expansion completed, now wire managed.,ONU status offline,Phone Support CSR,No Internet Connection (FTTH) ONU status offline..  now wire managed. ONU status offline Offline. Phone Support CSR,internet connection (ftth) onu status offline.. wire managed. onu status offline offline. phone support csr
Accounts Related Issue,Account Status Query..,Not provided,Informed user to visit branch	,Account Status Query,Phone Support,close,Accounts Related Issue Account Status Query.. Account Status Query Phone Support Not provided close,account related issue account status query.. account status query phone support provided close
Accounts Related Issue,Client wants Discount...,Not provided,Discount not provided.,Client wants Discount.,Desk Support,paid,Accounts Related Issue Client wants Discount... Client wants Discount. Desk Support Not provided paid,account related issue client want discount... client want discount. desk support provided paid
Slow Internet Connection (FTTH),Low power level recorded [< -2..,optical power level is low(-26 dbm)please do need#l asap,Power level managed,Low power level recorded [< -26 dbm],Phone Support,Not available,Slow Internet Connection (FTTH) Low power level recorded [< -2.. Low power level recorded [< -26 dbm] Phone Support optical power level is low(-26 dbm)please do need#l asap Not available,slow internet connection (ftth) low power level recorded [< -2.. low power level recorded [< -26 dbm] phone support optical power level low(-26 dbm)please need#l asap available
Slow Internet Connection (FTTH),Low power level recorded [< -2..,optical power level is low(-26 dbm)please do need#l asap,Power level managed,Low power level recorded [< -26 dbm],Phone Support,Not available,Slow Internet Connection (FTTH) Low power level recorded [< -2.. Low power level recorded [< -26 dbm] Phone Support optical power level is low(-26 dbm)please do need#l asap Not available,slow internet connection (ftth) low power level recorded [< -2.. low power level recorded [< -26 dbm] phone support optical power level low(-26 dbm)please need#l asap available
No Internet Connection (FTTH),ONU status offline..,Not provided,Fiber Cable Changed ,ONU status offline,Phone Support,Not available,No Internet Connection (FTTH) ONU status offline.. ONU status offline Phone Support Not provided Not available,internet connection (ftth) onu status offline.. onu status offline phone support provided available
Accounts Related Issue,Query about Compensation..,Not provided,Issued task ticket to Retail Customer Care Unit,Query about Compensation,Phone Support,on process  ,Accounts Related Issue Query about Compensation.. Query about Compensation Phone Support Not provided on process  ,account related issue query compensation.. query compensation phone support provided process
Accounts Related Issue,Query about Compensation..,Not provided,Issued task ticket to Retail Customer Care Unit,Query about Compensation,Phone Support,on process  ,Accounts Related Issue Query about Compensation.. Query about Compensation Phone Support Not provided on process  ,account related issue query compensation.. query compensation phone support provided process
Accounts Related Issue,Query about Compensation..,Not provided,Issued task ticket to Retail Customer Care Unit,Query about Compensation,Phone Support,on process  ,Accounts Related Issue Query about Compensation.. Query about Compensation Phone Support Not provided on process  ,account related issue query compensation.. query compensation phone support provided process
Accounts Related Issue,Query about Compensation..,Not provided,Issued task ticket to Retail Customer Care Unit,Query about Compensation,Phone Support,on process  ,Accounts Related Issue Query about Compensation.. Query about Compensation Phone Support Not provided on process  ,account related issue query compensation.. query compensation phone support provided process
IPTV Related Issues,Error Code 1598:No internet co..,Not provided,STB rebooted.Now working,Error Code 1598:No internet connection,Phone Support,Not available,IPTV Related Issues Error Code 1598:No internet co.. Error Code 1598:No internet connection Phone Support Not provided Not available,iptv related issue error code 1598:no internet co.. error code 1598:no internet connection phone support provided available
Slow Internet Connection (FTTH),User connected beyond at 5Ghz ..,Not provided,Installed Beacon router.,User connected beyond at 5Ghz coverage,Phone Support,Not available,Slow Internet Connection (FTTH) User connected beyond at 5Ghz .. User connected beyond at 5Ghz coverage Phone Support Not provided Not available,slow internet connection (ftth) user connected beyond 5ghz .. user connected beyond 5ghz coverage phone support provided available
Accounts Related Issue,Account extend request..,Not provided,Complimentary Account.,Account extend request,Desk Support,Not available,Accounts Related Issue Account extend request.. Account extend request Desk Support Not provided Not available,account related issue account extend request.. account extend request desk support provided available
Accounts Related Issue,Client wants Discount...,Not provided,Discount Provided.,Client wants Discount.,Desk Support,already done,Accounts Related Issue Client wants Discount... Client wants Discount. Desk Support Not provided already done,account related issue client want discount... client want discount. desk support provided already done
No Internet Connection (FTTH),ONU status offline..,Not provided,User working automatically,ONU status offline,Phone Support,Not available,No Internet Connection (FTTH) ONU status offline.. ONU status offline Phone Support Not provided Not available,internet connection (ftth) onu status offline.. onu status offline phone support provided available
No Internet Connection (FTTH),ONU status offline..,Offline.,User working automatically,ONU status offline,Phone Support,Not available,No Internet Connection (FTTH) ONU status offline.. ONU status offline Phone Support Offline. Not available,internet connection (ftth) onu status offline.. onu status offline phone support offline. available
Slow Internet Connection (FTTH),Low power level recorded [< -2..,optical power level is low(-26 dbm)please do need#l asap,Fiber cable changed ,Low power level recorded [< -26 dbm],Phone Support,.,Slow Internet Connection (FTTH) Low power level recorded [< -2.. Low power level recorded [< -26 dbm] Phone Support optical power level is low(-26 dbm)please do need#l asap .,slow internet connection (ftth) low power level recorded [< -2.. low power level recorded [< -26 dbm] phone support optical power level low(-26 dbm)please need#l asap .
No Internet Connection (FTTH),ONU status offline..,Not provided,Bending loss on drop wire. Drop wire managed.,ONU status offline,Phone Support,Not available,No Internet Connection (FTTH) ONU status offline.. ONU status offline Phone Support Not provided Not available,internet connection (ftth) onu status offline.. onu status offline phone support provided available
No Internet Connection (FTTH),ONU status offline..,Offline.,Bending loss on drop wire. Drop wire managed.,ONU status offline,Phone Support,.,No Internet Connection (FTTH) ONU status offline.. ONU status offline Phone Support Offline. .,internet connection (ftth) onu status offline.. onu status offline phone support offline. .
No Internet Connection (FTTH),ONU status offline..,Offline.,Adaptor changed,ONU status offline,Phone Support,Not available,No Internet Connection (FTTH) ONU status offline.. ONU status offline Phone Support Offline. Not available,internet connection (ftth) onu status offline.. onu status offline phone support offline. available
Accounts Related Issue,Account Status Query..,Not provided,Account Adjusted.,Account Status Query,Desk Support,Not available,Accounts Related Issue Account Status Query.. Account Status Query Desk Support Not provided Not available,account related issue account status query.. account status query desk support provided available
General Inquiry,Technical Query..,Not provided,Provided required information about bridging.,Technical Query,Desk Support,Not available,General Inquiry Technical Query.. Technical Query Desk Support Not provided Not available,general inquiry technical query.. technical query desk support provided available
Accounts Related Issue,Query about Packages..,Not provided,Plan shifted to special BTL	,Query about Packages,Desk Support,Not available,Accounts Related Issue Query about Packages.. Query about Packages Desk Support Not provided Not available,account related issue query packages.. query package desk support provided available
General Inquiry,Manage cable..,Not provided,Shifted router from one floor to another.,Manage cable,Follow Up,Not available,General Inquiry Manage cable.. Manage cable Follow Up Not provided Not available,general inquiry manage cable.. manage cable follow provided available
Accounts Related Issue,Payment Query..,Not provided,Guided branch office location.,Payment Query,Phone Support,done,Accounts Related Issue Payment Query.. Payment Query Phone Support Not provided done,account related issue payment query.. payment query phone support provided done
Accounts Related Issue,Payment Query..,Not provided,Guided branch office location.,Payment Query,Phone Support,dine,Accounts Related Issue Payment Query.. Payment Query Phone Support Not provided dine,account related issue payment query.. payment query phone support provided dine
Accounts Related Issue,Payment Query..,Not provided,Guided branch office location.,Payment Query,Phone Support,done,Accounts Related Issue Payment Query.. Payment Query Phone Support Not provided done,account related issue payment query.. payment query phone support provided done
General Inquiry,Client wants to upgrade to 5G ..,Not provided,Client already had Dual Band Router,Client wants to upgrade to 5G plan,Phone Support,Not available,General Inquiry Client wants to upgrade to 5G .. Client wants to upgrade to 5G plan Phone Support Not provided Not available,general inquiry client want upgrade 5g .. client want upgrade 5g plan phone support provided available
Accounts Related Issue,Query regarding Service Termin..,Not provided,TT issued to concerned,Query regarding Service Termination,Desk Support,uninstalled done already,Accounts Related Issue Query regarding Service Termin.. Query regarding Service Termination Desk Support Not provided uninstalled done already,account related issue query regarding service termin.. query regarding service termination desk support provided uninstalled done already
Accounts Related Issue,Query regarding Service Termin..,Not provided,TT issued to concerned,Query regarding Service Termination,Desk Support,Not available,Accounts Related Issue Query regarding Service Termin.. Query regarding Service Termination Desk Support Not provided Not available,account related issue query regarding service termin.. query regarding service termination desk support provided available
