SEVERITY NAME,ISSUED BY,PROBLEM TYPE NAME,PROBLEM,SOLVED BY,CSR GROUP,ADDITIONAL INFO,SOLUTION,ACTUAL PROBLEM,SUPPORT TYPE,SUPPORT ZONE,ISSUED BY GROUP,SOLVED COMMENT,PLANCAT TYPE,,,
Full Service Affected,aashika.shahi,Accounts Related Issue,Query about Packages..,rasmi.purja5,Account,,Advance payment query,Query about Packages,Phone Support,GALKOT,Phone Support CSR,,ATL,,,
Limited Service,admin,No Internet Connection (FTTH),ONU status offline..,rewant.lama,L2-FSCC,Offline., Pole shifting/road expansion completed, now wire managed.,ONU status offline,Phone Support,DHUNGEDHARA,Phone Support CSR,,ATL,,
Full Service Affected,srijana.sunar5,Accounts Related Issue,Account Status Query..,srijana.sunar5,Account,,"Informed user to visit branch	",Account Status Query,Phone Support,RASTRABANKCHOWK,Account,close,ATL,,,
Full Service Affected,dewa.lamichhane,Accounts Related Issue,Client wants Discount...,ranjana.parajuli,Customer Care Unit,,Discount not provided.,Client wants Discount.,Desk Support,PEPSICOLA,Phone Support CSR,paid,BTL,,,
Full Service Affected,admin,Slow Internet Connection (FTTH),Low power level recorded [< -2..,sujan.maharjan,L2-FSCC,optical power level is low(-26 dbm)please do need#l asap,Power level managed,Low power level recorded [< -26 dbm],Phone Support,BANEPA,Phone Support CSR,,ATL,,,
Full Service Affected,admin,Slow Internet Connection (FTTH),Low power level recorded [< -2..,sujan.maharjan,L2-FSCC,optical power level is low(-26 dbm)please do need#l asap,Power level managed,Low power level recorded [< -26 dbm],Phone Support,BANEPA,Phone Support CSR,,ATL,,,
Full Service Affected,rubi.darlami,No Internet Connection (FTTH),ONU status offline..,roshni.budathoki,Phone Support CSR,,Fiber Cable Changed ,ONU status offline,Phone Support,LEKHNATH,Phone Support CSR,,ATL,,,
Full Service Affected,anamica.silwal,Accounts Related Issue,Query about Compensation..,kritina.shivabhakti,Account,,Issued task ticket to Retail Customer Care Unit,Query about Compensation,Phone Support,REGION3-NBU1,Phone Support CSR,on process  ,BTL,,,
Full Service Affected,ronisa.shrestha,Accounts Related Issue,Query about Compensation..,kritina.shivabhakti,Account,,Issued task ticket to Retail Customer Care Unit,Query about Compensation,Phone Support,REGION3-NBU1,Phone Support CSR,on process  ,BTL,,,
Full Service Affected,pooja.singh,Accounts Related Issue,Query about Compensation..,kritina.shivabhakti,Account,,Issued task ticket to Retail Customer Care Unit,Query about Compensation,Phone Support,REGION3-NBU1,Phone Support CSR,on process  ,BTL,,,
Full Service Affected,samyog.ale,Accounts Related Issue,Query about Compensation..,kritina.shivabhakti,Account,,Issued task ticket to Retail Customer Care Unit,Query about Compensation,Phone Support,REGION3-NBU1,Phone Support CSR,on process  ,BTL,,,
Full Service Affected,suraj.tamang1,IPTV Related Issues,Error Code 1598:No internet co..,ganga.pandey,Account,,STB rebooted.Now working,Error Code 1598:No internet connection,Phone Support,AANBUKHAIRENI,Phone Support CSR,,BTL,,,
Full Service Affected,romisha.poudel,Slow Internet Connection (FTTH),User connected beyond at 5Ghz ..,parajuli.aashish,Phone Support L-2 Group,,Installed Beacon router.,User connected beyond at 5Ghz coverage,Phone Support,PEPSICOLA,Phone Support CSR,,ATL,,,
Full Service Affected,sandesh.karki,Accounts Related Issue,Account extend request..,maharjan.sudip,L2 Customer Account,,Complimentary Account.,Account extend request,Desk Support,DHARAN,Supervisor,,ATL,,,
Full Service Affected,radha.upadhaya,Accounts Related Issue,Client wants Discount...,shital.shah,Account,,Discount Provided.,Client wants Discount.,Desk Support,BANSBARI,Account,already done,ATL,,,
Full Service Affected,pintu.sah,No Internet Connection (FTTH),ONU status offline..,ahswyn.ale,L2-FSCC,,User working automatically,ONU status offline,Phone Support,LALBANDI,Customer Care Unit,,BTL,,,
Limited Service,admin,No Internet Connection (FTTH),ONU status offline..,rojan.thapa,Phone Support CSR,Offline.,User working automatically,ONU status offline,Phone Support,IMADOL,Phone Support CSR,,ATL,,,
Full Service Affected,admin,Slow Internet Connection (FTTH),Low power level recorded [< -2..,niraj.chaulagain,L2-FSCC,optical power level is low(-26 dbm)please do need#l asap,Fiber cable changed ,Low power level recorded [< -26 dbm],Phone Support,PANAUTI,Phone Support CSR,.,BTL,,,
Full Service Affected,yogesh.chaulagain,No Internet Connection (FTTH),ONU status offline..,parajuli.aashish,Phone Support L-2 Group,,Bending loss on drop wire. Drop wire managed.,ONU status offline,Phone Support,MANBHAWAN,Phone Support CSR,,ATL,,,
Limited Service,admin,No Internet Connection (FTTH),ONU status offline..,niraj.chaulagain,L2-FSCC,Offline.,Bending loss on drop wire. Drop wire managed.,ONU status offline,Phone Support,PANAUTI,Phone Support CSR,.,BTL,,,
Limited Service,admin,No Internet Connection (FTTH),ONU status offline..,rewant.lama,L2-FSCC,Offline.,Adaptor changed,ONU status offline,Phone Support,DHUNGEDHARA,Phone Support CSR,,ATL,,,
Full Service Affected,deeya.khadgi,Accounts Related Issue,Account Status Query..,maharjan.sudip,L2 Customer Account,,Account Adjusted.,Account Status Query,Desk Support,BANSBARI,Phone Support CSR,,ATL,,,
Full Service Affected,niranjan.kapali,General Inquiry,Technical Query..,pooja.maharjan,Account,,Provided required information about bridging.,Technical Query,Desk Support,BALAJU,Phone Support CSR,,ATL,,,
Full Service Affected,rojin.shrestha,Accounts Related Issue,Query about Packages..,punita.sah,Account,,"Plan shifted to special BTL	",Query about Packages,Desk Support,BARDAGHAT,Phone Support CSR,,BTL,,,
Full Service Affected,sargam.rai,General Inquiry,Manage cable..,sargam.rai,Desk Sales Staffs,,Shifted router from one floor to another.,Manage cable,Follow Up,DHUNGEDHARA,Desk Sales Staffs,,ATL,,,
Full Service Affected,sudip.tamang,Accounts Related Issue,Payment Query..,ranjana.humagain,Account,,Guided branch office location.,Payment Query,Phone Support,KALABANZAR,Phone Support CSR,done,BTL,,,
Full Service Affected,sujana.maharjan,Accounts Related Issue,Payment Query..,ranjana.humagain,Account,,Guided branch office location.,Payment Query,Phone Support,KALABANZAR,Sales Call Center,dine,BTL,,,
Full Service Affected,karishma.yadav,Accounts Related Issue,Payment Query..,ranjana.humagain,Account,,Guided branch office location.,Payment Query,Phone Support,KALABANZAR,Phone Support CSR,done,BTL,,,
Full Service Affected,sargam.rai,General Inquiry,Client wants to upgrade to 5G ..,sargam.rai,Desk Sales Staffs,,Client already had Dual Band Router,Client wants to upgrade to 5G plan,Phone Support,DHUNGEDHARA,Desk Sales Staffs,,ATL,,,
Full Service Affected,riddhik.acharya,Accounts Related Issue,Query regarding Service Termin..,sabita.upreti,Account,,TT issued to concerned,Query regarding Service Termination,Desk Support,PEPSICOLA,Phone Support CSR,uninstalled done already,ATL,,,
Full Service Affected,ramesh.wod,Accounts Related Issue,Query regarding Service Termin..,sabita.upreti,Account,,TT issued to concerned,Query regarding Service Termination,Desk Support,PEPSICOLA,Phone Support CSR,,ATL,,,
Full Service Affected,saloni.shrestha,Accounts Related Issue,Query regarding Service Termin..,ranjana.parajuli,Customer Care Unit,,TT issued to concerned,Query regarding Service Termination,Desk Support,PEPSICOLA,Phone Support CSR,already uninstalled,ATL,,,
Full Service Affected,sumit.bajracharya,Accounts Related Issue,Query regarding Service Termin..,kritina.shivabhakti,Account,,TT issued to concerned,Query regarding Service Termination,Phone Support,REGION3-NBU1,Online Support,,ATL,,,
Full Service Affected,milan.bishankhe,No Internet Connection (FTTH),No users online in Distributio..,parajuli.aashish,Phone Support L-2 Group,,Offline due to power outage.,No users online in Distribution/GPON,Phone Support,MANAHARI,Phone Support CSR,,BTL,,,
Full Service Affected,sargam.rai,No Internet Connection (FTTH),Disconnection problem..,sujan.maharjan,L2-FSCC,,Re-initialization done,Disconnection problem,Phone Support,DHUNGEDHARA,Desk Sales Staffs,,ATL,,,
Full Service Affected,admin,Slow Internet Connection (FTTH),Low power level recorded [< -2..,rojan.thapa,Phone Support CSR,optical power level is low(-26 dbm)please do need#l asap,Fiber cable managed ,Low power level recorded [< -26 dbm],Phone Support,IMADOL,Phone Support CSR,,BTL,,,
